VQ1s,,,VQ2s,,,VQ3s,,,VQ4s,,,VQ5s,,,VQ6s,,,VQ7s,,,RQ1s,,,RQ2s,,,RQ3s,,,RQ4s,,,RQ5s,,,RQ6s,,,MQ1s,,,MQ2s,,,MQ3s,,,MQ4s,,,MQ5s,,,MQ6s,,,,,,
4,,,3,,,4,,,2,,,2,,,5,,,2,,,1,,,1,,,2,,,1,,,1,,,1,,,4,,,3,,,4,,,5,,,5,,,4,,,,54,,
4,,,3,,,3,,,1,,,3,,,3,,,2,,,0,,,5,,,4,,,3,,,3,,,4,,,4,,,2,,,3,,,3,,,4,,,4,,,,58,,
2,,,2,,,1,,,2,,,2,,,1,,,1,,,2,,,3,,,3,,,3,,,3,,,3,,,4,,,3,,,3,,,5,,,4,,,3,,,,50,,
4,,,2,,,3,,,2,,,2,,,3,,,2,,,3,,,3,,,2,,,0,,,0,,,0,,,4,,,3,,,4,,,3,,,4,,,2,,,,46,,
4,,,2,,,3,,,2,,,2,,,3,,,2,,,1,,,1,,,3,,,3,,,4,,,4,,,4,,,3,,,3,,,4,,,3,,,3,,,,54,,
4,,,2,,,2,,,4,,,4,,,4,,,5,,,1,,,5,,,4,,,3,,,3,,,5,,,4,,,3,,,4,,,4,,,5,,,1,,,,67,,
3,,,2,,,2,,,2,,,0,,,3,,,2,,,2,,,4,,,3,,,4,,,4,,,5,,,3,,,2,,,2,,,1,,,3,,,1,,,,48,,
4,,,2,,,3,,,2,,,2,,,3,,,4,,,3,,,4,,,4,,,1,,,1,,,5,,,4,,,2,,,4,,,4,,,3,,,4,,,,59,,
3,,,2,,,3,,,2,,,1,,,3,,,2,,,-1,,,4,,,4,,,2,,,1,,,4,,,4,,,3,,,3,,,4,,,5,,,4,,,,53,,
4,,,2,,,3,,,2,,,2,,,4,,,2,,,-1,,,4,,,4,,,5,,,3,,,5,,,4,,,3,,,3,,,4,,,4,,,4,,,,61,,
3,,,1,,,4,,,3,,,1,,,3,,,4,,,0,,,2,,,1,,,3,,,1,,,2,,,3,,,3,,,4,,,3,,,4,,,2,,,,47,,
2,,,2,,,1,,,2,,,1,,,0,,,2,,,1,,,1,,,0,,,1,,,1,,,1,,,3,,,2,,,4,,,3,,,3,,,4,,,,34,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,4,,,3,,,4,,,5,,,4,,,3,,,4,,,4,,,3,,,2,,,,47,,
4,,,2,,,3,,,2,,,3,,,3,,,4,,,3,,,4,,,3,,,4,,,4,,,5,,,4,,,3,,,3,,,5,,,3,,,5,,,,67,,
-1,,,1,,,1,,,1,,,1,,,-1,,,1,,,-1,,,-1,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,0,,,3,,,4,,,,17,,
4,,,1,,,3,,,1,,,3,,,3,,,3,,,-2,,,3,,,1,,,3,,,-1,,,2,,,4,,,0,,,3,,,4,,,4,,,2,,,,41,,
4,,,1,,,3,,,2,,,3,,,3,,,3,,,-1,,,4,,,4,,,4,,,2,,,5,,,3,,,1,,,3,,,5,,,4,,,3,,,,56,,
3,,,1,,,2,,,1,,,2,,,3,,,3,,,3,,,5,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,4,,,3,,,3,,,,61,,
4,,,3,,,2,,,2,,,3,,,4,,,2,,,3,,,4,,,4,,,3,,,3,,,5,,,4,,,3,,,4,,,3,,,5,,,2,,,,63,,
2,,,1,,,2,,,1,,,0,,,2,,,3,,,-2,,,0,,,-1,,,1,,,0,,,0,,,3,,,3,,,3,,,3,,,4,,,0,,,,25,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,3,,,3,,,1,,,3,,,4,,,3,,,2,,,3,,,4,,,4,,,2,,,,38,,
4,,,3,,,4,,,2,,,1,,,4,,,2,,,2,,,3,,,4,,,3,,,3,,,3,,,3,,,2,,,3,,,5,,,4,,,1,,,,56,,
4,,,-2,,,3,,,0,,,3,,,3,,,2,,,1,,,1,,,-1,,,2,,,1,,,1,,,4,,,0,,,4,,,4,,,0,,,3,,,,33,,
4,,,2,,,3,,,2,,,1,,,2,,,3,,,-2,,,4,,,1,,,1,,,1,,,2,,,4,,,3,,,4,,,4,,,3,,,3,,,,45,,
3,,,2,,,3,,,2,,,2,,,3,,,2,,,3,,,3,,,4,,,5,,,2,,,5,,,4,,,3,,,4,,,5,,,4,,,3,,,,62,,
3,,,1,,,3,,,0,,,2,,,4,,,2,,,0,,,3,,,0,,,0,,,0,,,0,,,4,,,3,,,4,,,4,,,2,,,1,,,,36,,
2,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,2,,,2,,,2,,,1,,,2,,,4,,,3,,,4,,,2,,,3,,,2,,,,37,,
1,,,1,,,4,,,3,,,3,,,3,,,3,,,0,,,2,,,1,,,3,,,1,,,2,,,1,,,0,,,4,,,4,,,2,,,2,,,,40,,
